Date,spot,vol,rate
3/21/2005,118.1,12.2729,2.691362
3/22/2005,116.9,12.6994,2.67082
3/23/2005,117,12.5992,2.670625
3/24/2005,117.14,11.8992,2.671211
3/28/2005,117.31,12.1704,2.660649
3/29/2005,116.53,12.7798,2.67082
3/30/2005,118.18,11.9281,2.670625
3/31/2005,117.96,12.3033,2.610727
4/1/2005,117.43,12.5619,2.630514
4/4/2005,117.63,12.4704,2.620152
4/5/2005,118.19,12.2892,2.589452
4/6/2005,118.6,11.89,2.589268
4/7/2005,119.24,11.4082,2.600549
4/8/2005,118,11.88,2.589819
4/11/2005,118.09,11.7589,2.579464
4/12/2005,118.7,11.1092,2.589452
4/13/2005,117.3,12.0164,2.609607
4/14/2005,115.77,13.7247,2.631083
4/15/2005,114.15,15.3711,2.630514
4/18/2005,114.5,14.7249,2.620152
4/19/2005,115.41,13.1055,2.67082
4/20/2005,113.8,15.0984,2.609607
4/21/2005,116.01,12.8214,2.570015
4/22/2005,115.57,13.8317,2.589819
4/25/2005,116.33,13.1048,2.620152
4/26/2005,115.2,13.7633,2.650477
4/27/2005,115.65,13.3553,2.579099
4/28/2005,114.2,15.3819,2.580193
4/29/2005,115.75,14.311,2.671211
5/2/2005,116.4,13.9179,2.640497
5/3/2005,116.6,13.6438,2.569111
5/4/2005,117.5,12.7105,2.446912
5/5/2005,117.46,12.798,2.580193
5/6/2005,117.09,12.7097,2.630514
5/9/2005,117.82,12.3901,2.579464
5/10/2005,116.6,13.6921,2.558941
5/11/2005,117.24,13.199,2.548593
5/12/2005,115.95,14.5235,2.549661
5/13/2005,115.72,15.2506,2.437233
5/16/2005,116.8,13.9984,2.40656
5/17/2005,117.58,13.2587,2.41657
5/18/2005,118.79,12.0319,2.406243
5/19/2005,119.29,11.7845,2.590371
5/20/2005,119.12,11.4267,2.640688
5/23/2005,119.78,11.0485,2.640497
5/24/2005,119.5,10.9815,2.680992
5/25/2005,119.41,10.9369,2.690965
5/26/2005,120.05,10.4728,2.753235
5/27/2005,120.25,10.4859,2.74223
5/31/2005,119.48,11.5426,2.762161
6/1/2005,120.5,10.5617,2.772332
6/2/2005,120.76,10.4087,2.802631
6/3/2005,120.15,10.8684,2.783139
6/6/2005,120.04,10.9071,2.793102
6/7/2005,120.13,10.9458,2.803061
6/8/2005,119.91,11.3188,2.813018
6/9/2005,120.48,10.9075,2.793957
6/10/2005,120.2,10.7487,2.783139
6/13/2005,120.58,10.5544,2.772753
6/14/2005,120.86,10.4279,2.762369
6/15/2005,121.09,10.1605,2.772332
6/16/2005,121.4,9.8534,2.743055
6/17/2005,121.36,9.9061,2.772964
6/20/2005,121.4,10.1578,2.772753
6/21/2005,121.47,9.9308,2.782715
6/22/2005,121.57,9.8078,2.762161
6/23/2005,119.86,10.8595,2.753235
6/24/2005,118.98,11.0086,2.752612
6/27/2005,119.15,11.1647,2.803277
6/28/2005,120.15,10.458,2.853929
6/29/2005,119.83,10.5152,2.894395
6/30/2005,119.18,10.7334,2.967053
7/1/2005,119.53,10.1875,2.986443
7/5/2005,120.49,10.7249,2.996128
7/6/2005,119.48,11.2597,2.985954
7/7/2005,119.95,11.1607,2.965366
7/8/2005,121.32,10.2773,2.96633
7/11/2005,121.94,10.6005,2.966089
7/12/2005,122.26,10.6411,2.955673
7/13/2005,122.43,10.1658,2.955434
7/14/2005,122.91,10.4879,3.017972
7/15/2005,122.84,9.7429,3.017224
7/18/2005,122.35,9.7583,3.006797
7/19/2005,123.02,9.6585,2.996374
7/20/2005,123.44,9.2586,2.985954
7/21/2005,122.72,9.9249,3.109637
7/22/2005,123.54,9.2983,3.129203
7/25/2005,123.19,9.9938,3.159472
7/26/2005,123.34,9.9046,3.189732
7/27/2005,123.79,9.4426,3.179277
7/28/2005,124.57,9.3893,3.221687
7/29/2005,123.74,10.2887,3.220834
8/1/2005,123.65,11.0448,3.251091
8/2/2005,124.39,10.7149,3.271159
8/3/2005,124.72,10.5803,3.260689
8/4/2005,123.72,11.2054,3.323568
8/5/2005,122.88,11.4588,3.332843
8/8/2005,122.65,12.0498,3.342721
8/9/2005,123.39,11.2873,3.322055
8/10/2005,123.33,11.3982,3.331931
8/11/2005,123.82,11.2205,3.293002
8/12/2005,123.06,11.5836,3.281928
8/15/2005,123.82,11.3583,3.230731
8/16/2005,122.21,12.3288,3.220266
8/17/2005,122.2,11.9197,3.250512
8/18/2005,122.19,12.0099,3.262438
8/19/2005,122.47,11.5368,3.302294
8/22/2005,122.47,11.6646,3.322358
8/23/2005,122.24,11.5766,3.311876
8/24/2005,121.15,12.269,3.29122
8/25/2005,121.59,11.8023,3.323568
8/26/2005,120.76,12.0235,3.35321
8/29/2005,121.69,11.624,3.403813
8/30/2005,121.05,12.0775,3.423857
8/31/2005,122.58,11.2149,3.362464
9/1/2005,122.49,11.6521,3.333757
9/2/2005,122.27,11.985,3.363084
9/6/2005,123.7,11.3821,3.362464
9/7/2005,123.91,11.1651,3.331931
9/8/2005,123.5,11.197,3.280748
9/9/2005,124.6,10.5351,3.302294
9/12/2005,124.35,10.8442,3.291814
9/13/2005,123.66,11.2184,3.26098
9/14/2005,123.21,11.2595,3.199629
9/15/2005,123.15,10.695,3.201313
9/16/2005,123.5,10.4973,3.190289
9/19/2005,123.09,10.9658,3.139114
9/20/2005,122.05,11.5822,3.159199
9/21/2005,120.91,12.6636,2.863878
9/22/2005,121.34,12.1794,2.977237
9/23/2005,121.44,11.6887,3.017224
9/26/2005,121.58,11.774,3.139114
9/27/2005,121.55,11.7192,3.077782
9/28/2005,121.67,11.5289,2.975781
9/29/2005,122.66,11.0141,3.048526
9/30/2005,123.04,10.8004,3.108842
10/3/2005,122.6,11.2649,3.169651
10/4/2005,121.22,12.2393,3.240623
10/5/2005,119.63,13.599,3.240335
10/6/2005,119.2,13.8939,3.313379
10/7/2005,119.61,13.5854,3.301995
10/10/2005,118.6,14.429,3.301697
10/11/2005,118.43,14.5922,3.342108
10/12/2005,117.5,14.7777,3.301398
10/13/2005,117.43,14.9742,3.270573
10/14/2005,118.67,13.675,3.465239
10/17/2005,119.11,13.4747,3.46491
10/18/2005,117.82,14.3606,3.362774
10/19/2005,119.78,12.8534,3.352286
10/20/2005,117.67,14.7845,3.405083
10/21/2005,118.13,14.4539,3.434684
10/24/2005,119.96,13.3218,3.444544
10/25/2005,119.72,13.2992,3.546035
10/26/2005,119.37,13.6261,3.494791
10/27/2005,118.1,15.0881,3.701034
10/28/2005,119.8,13.4791,3.720289
10/31/2005,120.13,13.7544,3.730099
11/1/2005,120.49,13.668,3.688972
11/2/2005,121.75,12.7057,3.739521
11/3/2005,122.27,12.2274,3.792415
11/4/2005,122.11,12.3569,3.781044
11/7/2005,122.23,12.4431,3.790839
11/8/2005,122.23,12.2599,3.800631
11/9/2005,122.39,12.0646,3.840969
11/10/2005,123.34,11.3561,3.882944
11/11/2005,123.76,10.9542,3.882531
11/14/2005,123.69,11.4134,3.912678
11/15/2005,123.24,11.6833,3.922865
11/16/2005,123.49,11.2447,3.902074
11/17/2005,124.64,10.5789,3.965767
11/18/2005,125.13,10.1896,3.944091
11/21/2005,125.76,9.8525,3.913097
11/22/2005,126.3,9.8395,3.871932
11/23/2005,127.03,9.9837,3.881292
11/25/2005,127.13,10.0286,3.902908
11/28/2005,126.23,10.8103,3.923286
11/29/2005,126.09,10.8107,3.922865
11/30/2005,125.41,10.9409,3.942813
12/1/2005,126.69,10.1801,3.986164
12/2/2005,126.85,9.9185,3.984858
12/5/2005,126.58,10.3136,4.014994
12/6/2005,126.82,10.4378,4.014552
12/7/2005,126.08,10.9481,4.024296
12/8/2005,126,10.9904,3.639494
12/9/2005,126.33,10.5077,3.58747
12/12/2005,126.45,10.5895,3.536196
12/13/2005,127.31,10.135,3.5664
12/14/2005,127.81,9.8802,3.555871
12/15/2005,127.44,9.5587,3.568143
12/16/2005,126.36,10.1356,3.567097
12/19/2005,125.71,10.4344,3.49546
12/20/2005,125.83,10.3241,3.474762
12/21/2005,126.03,9.9783,3.474432
12/22/2005,126.69,9.6391,3.537566
12/23/2005,126.76,9.4754,3.424178
12/27/2005,125.47,10.8033,3.443894
12/28/2005,125.75,10.5493,3.454073
12/29/2005,125.19,10.6634,3.636956
12/30/2005,124.51,10.9209,3.994613
1/3/2006,126.7,10.3949,4.034482
1/4/2006,127.3,10.6544,4.024296
1/5/2006,127.38,10.6863,4.013669
1/6/2006,128.44,10.2759,4.025628
1/9/2006,128.77,10.6562,4.065946
1/10/2006,128.9,10.5188,4.126627
1/11/2006,129.31,10.5328,4.115974
1/12/2006,128.8,10.6697,4.10856
1/13/2006,128.68,10.6461,4.076138
1/17/2006,128.33,11.8073,4.014111
1/18/2006,127.82,11.3978,3.983554
1/19/2006,128.31,10.9337,3.87111
1/20/2006,125.97,12.9108,3.903326
1/23/2006,126.42,12.4976,3.902908
1/24/2006,126.55,11.8537,4.09606
1/25/2006,126.66,11.6693,4.146535
1/26/2006,127.36,11.1013,4.139163
1/27/2006,128.54,11.0749,4.137755
1/30/2006,128.44,11.4732,4.137286
1/31/2006,127.5,12.2273,4.187766
2/1/2006,128.39,11.7003,4.177098
2/2/2006,126.9,12.4893,4.312603
2/3/2006,126.27,12.4026,4.280486
2/6/2006,126.6,12.2942,4.290178
2/7/2006,125.48,12.7558,4.299865
2/8/2006,126.62,12.2267,4.299359
2/9/2006,126.41,12.1347,4.333011
2/10/2006,126.64,12.2611,4.351862
2/13/2006,126.41,12.5975,4.341148
2/14/2006,127.75,11.8961,4.361016
2/15/2006,128.2,11.3019,4.329927
2/16/2006,129.16,10.4764,4.373828
2/17/2006,128.81,10.5477,4.381927
2/21/2006,128.49,10.9025,4.391066
2/22/2006,129.27,10.4466,4.401256
2/23/2006,129.08,10.3972,4.431289
2/24/2006,129.41,10.1806,4.433442
2/27/2006,129.46,10.3139,4.453295
2/28/2006,128.23,11.0298,4.462945
3/1/2006,129.37,10.3712,4.421637
3/2/2006,129.36,10.4123,4.424853
3/3/2006,128.76,10.7239,4.423244
3/6/2006,128.17,11.667,4.422708
3/7/2006,127.97,11.3952,4.422172
3/8/2006,128.24,11.1852,4.391066
3/9/2006,127.38,11.4886,4.424853
3/10/2006,128.59,10.8234,4.433442
3/13/2006,128.83,10.6566,4.422708
3/14/2006,130.18,10.1832,4.422172
3/15/2006,130.76,10.0979,4.421637
3/16/2006,131.03,10.0789,4.465675
3/17/2006,130.62,10.5091,4.484434
3/20/2006,130.41,10.6872,4.534866
3/21/2006,129.59,10.4975,4.585277
3/22/2006,130.38,10.014,4.574508
3/23/2006,130.11,10.1872,4.659617
3/24/2006,130.21,10.1116,4.647632
3/27/2006,130.02,10.3876,4.657238
3/28/2006,129.22,10.5631,4.666841
3/29/2006,130.03,9.9532,4.666244
3/30/2006,129.8,10.589,4.649408
3/31/2006,129.83,10.4553,4.627231
4/3/2006,129.73,10.5984,4.64704
4/4/2006,130.56,10.3679,4.646449
4/5/2006,131.01,10.3735,4.635664
4/6/2006,130.87,10.6167,4.628991
4/7/2006,129.54,11.2744,4.627231
4/10/2006,129.74,11.472,4.616446
4/11/2006,128.64,12.1325,4.615862
4/12/2006,128.88,11.6731,4.625472
4/13/2006,128.71,11.5058,4.52523
4/17/2006,128.66,11.9254,4.513915
4/18/2006,130.7,10.6955,4.513915
4/19/2006,130.95,10.5184,4.523548
4/20/2006,131.13,10.2331,4.526914
4/21/2006,131.15,10.4919,4.545629
4/24/2006,130.91,10.5741,4.55526
4/25/2006,130.37,10.6793,4.595471
4/26/2006,130.4,10.5991,4.594893
4/27/2006,131.03,10.7909,4.618783
4/28/2006,131.47,10.5529,4.576229
5/1/2006,130.4,11.4493,4.565457
5/2/2006,131.38,11.131,4.585277
5/3/2006,130.89,11.3459,4.584701
5/4/2006,131.36,11.1348,4.588159
5/5/2006,132.52,10.7094,4.576229
5/8/2006,132.36,11.2085,4.585853
5/9/2006,132.62,11.0673,4.626058
5/10/2006,132.55,11.0102,4.605086
5/11/2006,130.95,11.7531,4.618783
5/12/2006,129.24,12.752,4.60683
5/15/2006,129.5,12.4837,4.64704
5/16/2006,129.31,12.1101,4.646449
5/17/2006,126.85,14.411,4.635664
5/18/2006,126.21,14.8258,4.731083
5/19/2006,127.1,14.4274,4.739446
5/22/2006,126.13,15.2262,4.718432
5/23/2006,125.17,16.3272,4.758609
5/24/2006,126.17,15.2174,4.757989
5/25/2006,127.73,13.0679,4.731083
5/26/2006,128.38,12.204,4.738831
5/30/2006,126.1,16.6017,4.7376
5/31/2006,127.51,14.2873,4.7376
6/1/2006,128.73,12.5398,4.726794
6/2/2006,129,12.4375,4.739446
6/5/2006,127.12,14.747,4.75923
6/6/2006,126.81,14.863,4.768807
6/7/2006,125.86,15.6102,4.757989
6/8/2006,125.75,15.8628,4.771924
6/9/2006,125.35,15.9638,4.759851
6/12/2006,123.99,17.6083,4.738831
6/13/2006,122.55,19.5268,4.717822
6/14/2006,123.5,17.369,4.645857
6/15/2006,126.12,13.1684,4.588159
6/16/2006,124.65,14.8327,4.60683
6/19/2006,123.67,15.5355,4.636842
6/20/2006,124.09,14.6902,4.646449
6/21/2006,125.01,13.5483,4.584701
6/22/2006,124.46,14.2541,4.516707
6/23/2006,124.44,14.3521,4.566029
6/26/2006,124.99,13.985,4.687835
6/27/2006,123.91,14.9918,4.748413
6/28/2006,124.75,14.5878,4.676437
6/29/2006,127.27,11.8965,4.567743
6/30/2006,127.23,11.8414,4.464037
7/3/2006,127.8,11.8154,4.615862
7/5/2006,127.07,12.7802,4.522987
7/6/2006,127.44,12.5894,4.594315
7/7/2006,126.61,12.9783,4.821068
7/10/2006,126.85,13.0284,4.830632
7/11/2006,127.41,12.2984,4.860588
7/12/2006,126.05,13.4854,4.839549
7/13/2006,124,16.5707,4.863826
7/14/2006,123.52,16.3816,4.841475
7/17/2006,123.34,17.0329,4.861235
7/18/2006,123.97,16.3496,4.880984
7/19/2006,125.69,13.9048,4.819158
7/20/2006,124.83,14.7158,4.853614
7/21/2006,123.95,15.8099,4.841475
7/24/2006,126.21,13.5732,4.861235
7/25/2006,126.66,13.6479,4.870786
7/26/2006,126.83,13.4224,4.890528
7/27/2006,126.71,13.8938,5.006809
7/28/2006,127.98,13.232,4.953722
7/31/2006,127.85,13.7751,5.004063
8/1/2006,127.22,13.9347,5.125787
8/2/2006,128.08,13.4535,5.135267
8/3/2006,128.42,13.5794,5.170254
8/4/2006,128.2,13.4893,5.147643
8/7/2006,127.95,14.4089,5.177532
8/8/2006,127.41,14.0423,5.156393
8/9/2006,126.98,14.3191,5.125068
8/10/2006,127.37,13.7133,5.119174
8/11/2006,127.01,13.484,5.117021
8/14/2006,127.11,13.6135,5.146916
8/15/2006,128.63,12.7715,5.125787
8/16/2006,129.79,11.6411,5.114869
8/17/2006,130.03,11.3431,5.149821
8/18/2006,130.69,10.531,5.137435
8/21/2006,130.13,10.9148,5.146916
8/22/2006,130.12,10.8343,5.146191
8/23/2006,129.76,10.9382,5.155665
8/24/2006,129.65,10.8261,5.160038
8/25/2006,129.81,10.6701,5.15785
8/28/2006,130.43,10.4381,5.177532
8/29/2006,130.58,10.4846,5.186999
8/30/2006,130.66,10.3012,5.145465
8/31/2006,130.64,10.5499,5.119174
9/1/2006,131.42,10.2385,5.065283
9/5/2006,131.67,10.8487,4.951706
9/6/2006,130.51,11.7975,4.91092
9/7/2006,129.91,11.9369,4.910259
9/8/2006,130.28,11.2779,4.810865
9/11/2006,130.41,11.5206,4.840833
9/12/2006,131.69,10.5149,4.758609
9/13/2006,132.22,10.2438,4.757989
9/14/2006,132.23,10.5799,4.782135
9/15/2006,131.96,10.5259,4.759851
9/18/2006,132.14,10.6406,4.738831
9/19/2006,131.81,10.8811,4.738215
9/20/2006,132.51,10.3137,4.707018
9/21/2006,131.87,11.4504,4.690244
9/22/2006,131.47,11.6561,4.70884
9/25/2006,132.48,11.0723,4.677636
9/26/2006,133.58,10.458,4.646449
9/27/2006,133.74,10.6059,4.584701
9/28/2006,133.69,10.7434,4.445264
9/29/2006,133.58,10.8231,4.555829
10/2/2006,133.08,11.3562,4.616446
10/3/2006,133.36,11.1168,4.615862
10/4/2006,134.92,10.6565,4.656051
10/5/2006,135.18,10.749,4.782135
10/6/2006,135.01,10.4376,4.718432
10/9/2006,135.09,10.5308,4.717822
10/10/2006,135.27,10.9123,4.768184
10/11/2006,135.11,10.8229,4.829353
10/12/2006,136.28,10.3682,4.869486
10/13/2006,136.63,10.1173,4.923108
10/16/2006,136.84,10.5185,4.983657
10/17/2006,136.41,10.9828,5.003377
10/18/2006,136.59,10.6967,4.982297
10/19/2006,136.81,10.2286,4.996594
10/20/2006,136.84,9.9214,4.994543
10/23/2006,137.47,10.6955,5.034672
10/24/2006,137.88,10.3809,5.084982
10/25/2006,138.35,10.3377,5.053679
10/26/2006,138.78,10.3274,5.140329
10/27/2006,137.91,10.6308,5.138158
10/30/2006,137.81,10.9504,5.147643
10/31/2006,137.79,10.8058,5.167326
11/1/2006,136.86,11.3759,5.166595
11/2/2006,136.78,11.3399,5.180471
11/3/2006,136.54,11.0863,5.178266
11/6/2006,138.08,11.0499,5.177532
11/7/2006,138.61,10.9437,5.176797
11/8/2006,138.91,10.5332,5.196462
11/9/2006,138.18,10.7923,5.190688
11/10/2006,138.24,10.6068,5.198682
11/13/2006,138.58,10.851,5.187737
11/14/2006,139.62,10.3047,5.176797
11/15/2006,140.02,10.2234,5.176063
11/16/2006,140.38,9.9428,5.221339
11/17/2006,140.42,9.5231,5.188474
11/20/2006,140.5,9.4583,5.187737
11/21/2006,140.64,9.0832,5.197202
11/22/2006,140.92,9.2994,5.195723
11/24/2006,140.35,9.6892,5.208148
11/27/2006,138.42,10.8419,5.218353
11/28/2006,139.02,10.0908,5.238013
11/29/2006,140.47,9.1468,5.237261
11/30/2006,140.53,9.2411,5.221339
12/1/2006,140.22,9.9429,5.2191
12/4/2006,141.29,9.6948,5.157122
12/5/2006,141.9,9.7167,5.084982
12/6/2006,141.78,9.8263,5.104671
12/7/2006,141.16,10.9532,4.904675
12/8/2006,141.42,10.4591,4.861882
12/11/2006,141.83,10.3293,4.830632
12/12/2006,141.72,9.9678,4.870786
12/13/2006,141.87,9.5611,4.849744
12/14/2006,143.12,8.8132,4.843402
12/15/2006,142.34,9.6589,4.749649
12/18/2006,141.95,9.6198,4.76943
12/19/2006,142.22,9.4074,4.779004
12/20/2006,142.14,9.3084,4.839549
12/21/2006,141.62,9.7129,4.822979
12/22/2006,140.75,10.316,4.80003
12/26/2006,141.58,10.1709,4.768184
12/27/2006,142.51,9.6627,4.645857
12/28/2006,142.21,9.8328,4.757369
12/29/2006,141.62,10.4544,4.718432
1/3/2007,141.37,11.2595,4.656051
1/4/2007,141.67,10.6603,4.675838
1/5/2007,140.54,11.3219,4.770053
1/8/2007,141.19,11.137,4.820431
1/9/2007,141.07,11.4607,4.880984
1/10/2007,141.54,10.8776,4.921116
1/11/2007,142.16,10.2516,4.955739
1/12/2007,143.24,9.6845,4.95305
1/16/2007,142.96,10.3755,4.972099
1/17/2007,143.02,10.2131,4.982297
1/18/2007,142.54,10.1233,4.94084
1/19/2007,142.82,9.6968,4.933312
1/22/2007,142.38,10.1266,4.942848
1/23/2007,142.8,9.6894,4.952378
1/24/2007,143.95,9.1707,4.931313
1/25/2007,142.26,10.5445,4.935313
1/26/2007,142.16,10.2995,4.902699
1/29/2007,142.05,10.5627,4.912241
1/30/2007,142.79,10.4494,4.911581
1/31/2007,143.75,9.9418,4.941509
2/1/2007,144.61,9.9388,4.976167
2/2/2007,144.81,9.7629,4.984338
2/5/2007,144.85,9.8038,5.044876
2/6/2007,144.89,9.7849,5.07478
2/7/2007,145.21,9.7283,5.084273
2/8/2007,145.02,9.7431,5.139606
2/9/2007,143.94,10.4083,5.137435
2/12/2007,143.45,10.9697,5.136712
2/13/2007,144.66,9.6637,5.166595
2/14/2007,145.61,9.526,5.145465
2/15/2007,145.8,9.6882,5.221339
2/16/2007,145.73,9.3224,5.208148
2/20/2007,146.04,9.4715,5.227061
2/21/2007,145.98,9.3273,5.247461
2/22/2007,145.87,9.4116,5.23651
2/23/2007,145.3,9.6613,5.239517
2/26/2007,145.17,10.128,5.228559
2/27/2007,139.5,16.4945,5.176797
2/28/2007,140.93,14.182,5.176063
3/1/2007,140.51,14.3568,5.241774
3/2/2007,138.67,16.474,5.2191
3/5/2007,137.35,17.8965,5.218353
3/6/2007,139.7,14.2741,5.22781
3/7/2007,139.56,13.8012,5.227061
3/8/2007,140.74,12.8479,5.221339
3/9/2007,140.78,12.5848,5.20889
3/12/2007,140.99,12.1574,5.218353
3/13/2007,138.25,15.5259,5.217607
3/14/2007,139.28,14.2739,5.222086
3/15/2007,139.47,13.4707,5.190688
3/16/2007,138.53,14.6832,5.168058
3/19/2007,140.2,13.1636,5.167326
3/20/2007,140.97,12.0841,5.186999
3/21/2007,143.29,10.7999,5.176063
3/22/2007,143.18,11.3623,5.221339
3/23/2007,143.39,11.5318,5.2191
3/26/2007,143.2,11.6936,5.218353
3/27/2007,142.86,12.2263,5.176797
3/28/2007,141.82,13.7026,5.135267
3/29/2007,141.97,13.7557,5.027237
3/30/2007,142,13.2736,5.055779
4/2/2007,142.16,13.22,5.106099
4/3/2007,143.69,12.176,5.095183
4/4/2007,143.85,11.88,5.094472
4/5/2007,144.24,11.3048,5.076192
4/9/2007,144.44,11.8238,5.054379
4/10/2007,144.61,11.4577,5.054379
4/11/2007,144.02,12.0274,5.043481
4/12/2007,144.66,11.5143,4.965953
4/13/2007,145.32,10.912,4.953722
4/16/2007,146.7,10.7263,4.932645
4/17/2007,147.09,10.7049,4.92178
4/18/2007,147.27,10.8766,4.91092
4/19/2007,147.23,11.1805,4.904675
4/20/2007,148.62,10.7111,4.892494
4/23/2007,148.06,11.5416,4.90204
4/24/2007,148.12,11.4605,4.901382
4/25/2007,149.48,11.6152,4.890528
4/26/2007,149.65,11.128,4.88425
4/27/2007,149.53,10.9369,4.821068
4/30/2007,148.29,12.4021,4.749031
5/1/2007,148.67,11.8296,4.605667
5/2/2007,149.54,11.5337,4.645857
5/3/2007,150.35,11.5103,4.710663
5/4/2007,150.92,11.4235,4.698638
5/7/2007,150.95,11.6011,4.708233
5/8/2007,150.75,11.7916,4.738215
5/9/2007,151.16,11.3807,4.717212
5/10/2007,149.58,12.2753,4.741293
5/11/2007,150.86,11.5471,4.719042
5/14/2007,150.53,12.4825,4.677636
5/15/2007,150.57,12.3007,4.626058
5/16/2007,151.6,11.6917,4.615278
5/17/2007,151.3,11.8012,4.761714
5/18/2007,152.62,10.8954,4.749649
5/21/2007,152.54,11.2906,4.820431
5/22/2007,152.42,11.2327,4.891183
5/23/2007,152.44,11.4103,4.85994
5/24/2007,151.06,12.247,4.965953
5/25/2007,151.69,11.585,4.95305
5/29/2007,152.24,11.6012,4.921116
5/30/2007,153.48,11.0457,4.890528
5/31/2007,153.32,11.3174,4.838908
6/1/2007,154.08,11.2431,4.790459
6/4/2007,154.1,11.5798,4.749031
6/5/2007,153.49,11.9765,4.738215
6/6/2007,151.84,13.21,4.788573
6/7/2007,149.1,15.2276,4.771924
6/8/2007,151.04,13.2107,4.729244
6/11/2007,151.3,13.4341,4.677636
6/12/2007,149.65,14.7328,4.687233
6/13/2007,151.89,13.2092,4.554124
6/14/2007,152.86,12.2304,4.486088
6/15/2007,153.07,12.7222,4.423244
6/18/2007,152.89,12.3796,4.412513
6/19/2007,153.27,11.7915,4.422172
6/20/2007,151.14,13.6416,4.340116
6/21/2007,151.98,13.1568,4.159565
6/22/2007,150.55,14.7577,4.229507
6/25/2007,149.83,15.6831,4.351343
6/26/2007,148.29,17.4931,4.41198
6/27/2007,150.4,14.5086,4.085413
6/28/2007,150.38,14.5225,4.006562
6/29/2007,150.43,15.1481,4.229507
7/2/2007,151.79,14.2929,4.463491
7/3/2007,152.34,13.8186,4.594893
7/5/2007,152.18,14.2347,4.70884
7/6/2007,152.98,13.4887,4.657833
7/9/2007,153,14.0172,4.626644
7/10/2007,150.92,16.2609,4.656644
7/11/2007,151.99,15.2758,4.666244
7/12/2007,154.39,14.3572,4.700454
7/13/2007,154.85,14.1816,4.678236
7/16/2007,154.83,14.6635,4.687835
7/17/2007,154.75,14.5499,4.666841
7/18/2007,154.47,,4.656051
7/19/2007,155.07,14.0716,4.731083
7/20/2007,153.5,15.671,4.719042
7/23/2007,153.97,15.489,4.830632
7/24/2007,151.3,17.2696,4.911581
7/25/2007,151.61,16.7872,4.91092
7/26/2007,148.02,19.023,4.976167
7/27/2007,145.11,23.2802,4.872086
7/30/2007,147.38,19.3306,4.922444
7/31/2007,145.72,22.1915,4.982977
8/1/2007,146.43,21.5533,4.941509
8/2/2007,147.6,19.4258,5.010283
8/3/2007,143.8,22.874,4.916131
8/6/2007,146.21,20.6407,4.946159
8/7/2007,147.77,19.3063,4.955719
8/8/2007,149.83,18.9482,4.975497
8/9/2007,145.39,23.6328,4.651909
8/10/2007,144.71,25.1972,4.363785
8/13/2007,145.23,23.0603,4.598417
8/14/2007,143.01,24.618,4.495615
8/15/2007,141.04,27.3816,3.912765
8/16/2007,142.1,27.0926,3.189655
8/17/2007,144.71,25.657,2.954045
8/20/2007,144.64,23.3495,2.107287
8/21/2007,144.93,22.6115,2.99438
8/22/2007,146.65,20.2606,2.718735
8/23/2007,146.52,19.9217,3.915276
8/24/2007,148.33,18.0304,4.220649
8/27/2007,146.95,20.0181,4.762042
8/28/2007,143.72,23.661,4.424067
8/29/2007,146.54,21.0693,3.89234
8/30/2007,146.15,22.4689,3.772134
8/31/2007,147.59,21.2875,4.158841
9/4/2007,149.08,20.3917,4.556381
9/5/2007,147.79,22.2513,4.474625
9/6/2007,148.13,21.6614,4.290201
